no,transaction_date,house_age,distance_to_MRT,number_cs,latitude,longitude,house_price
40,01022013,16.20,289.32,5.00,24.98,121.54,462000000
41,01122012,13.60,4082.02,0.00,24.94,121.50,159000000
42,01062013,16.80,4066.59,0.00,24.94,121.50,182000000
43,01052013,36.10,519.46,5.00,24.96,121.54,347000000
44,01092012,34.40,512.79,6.00,24.99,121.54,341000000
45,01062013,2.70,533.48,4.00,24.97,121.55,539000000
46,01122012,36.60,488.82,8.00,24.97,121.54,383000000
47,01052013,21.70,463.96,9.00,24.97,121.54,420000000
48,01062013,35.90,640.74,3.00,24.98,121.54,615000000
49,01052013,24.20,4605.75,0.00,24.95,121.50,134000000
50,01082012,29.40,4510.36,1.00,24.95,121.50,132000000
51,01052013,21.70,512.55,4.00,24.97,121.54,442000000
52,01122012,31.30,1758.41,1.00,24.95,121.55,207000000
53,01062013,32.10,1438.58,3.00,24.97,121.52,270000000
54,01122012,13.30,492.23,5.00,24.97,121.54,389000000
55,01122012,16.10,289.32,5.00,24.98,121.54,517000000
56,01092012,31.70,1160.63,0.00,24.95,121.53,137000000
57,01052013,33.60,371.25,8.00,24.97,121.54,419000000
58,01112012,3.50,56.47,7.00,24.96,121.54,535000000
59,01062013,30.30,4510.36,1.00,24.95,121.50,226000000
60,01122012,13.30,336.05,5.00,24.96,121.53,424000000
61,01052013,11.00,1931.21,2.00,24.96,121.51,213000000
62,01062013,5.30,259.66,6.00,24.98,121.55,632000000
63,01112012,17.20,2175.88,3.00,24.96,121.51,277000000
64,01062013,2.60,533.48,4.00,24.97,121.55,550000000
65,01032013,17.50,995.76,0.00,24.96,121.55,253000000
66,01052013,40.10,123.74,8.00,24.98,121.54,443000000
67,01122012,1.00,193.58,6.00,24.97,121.54,507000000
68,01062013,8.50,104.81,5.00,24.97,121.54,568000000
69,01052013,30.40,464.22,6.00,24.98,121.54,362000000
70,01092012,12.50,561.98,5.00,24.99,121.54,420000000
71,01062013,6.60,90.46,9.00,24.97,121.54,590000000
72,01122012,35.50,640.74,3.00,24.98,121.54,408000000
73,01062013,32.50,424.54,8.00,24.98,121.54,363000000
74,01022013,13.80,4082.02,0.00,24.94,121.50,200000000
75,01112012,6.80,379.56,10.00,24.98,121.54,544000000
76,01062013,12.30,1360.14,1.00,24.95,121.55,295000000
77,01062013,35.90,616.40,3.00,24.98,121.54,368000000
78,01092012,20.50,2185.13,3.00,24.96,121.51,256000000
79,01112012,38.20,552.44,2.00,24.98,121.53,298000000
80,01122012,18.00,1414.84,1.00,24.95,121.55,265000000
81,01062013,11.80,533.48,4.00,24.97,121.55,403000000
82,01122012,30.80,377.80,6.00,24.96,121.54,368000000
83,01122012,13.20,150.93,7.00,24.97,121.54,481000000
84,01112012,25.30,2707.39,3.00,24.96,121.51,177000000
85,01122012,15.10,383.28,7.00,24.97,121.54,437000000
86,01092012,0.00,338.97,9.00,24.97,121.54,508000000
87,01092012,1.80,1455.80,1.00,24.95,121.55,270000000
88,01062013,16.90,4066.59,0.00,24.94,121.50,183000000
89,01112012,8.90,1406.43,0.00,24.99,121.53,480000000
90,01062013,23.00,3947.95,0.00,24.95,121.50,253000000
91,01092012,0.00,274.01,1.00,24.97,121.53,454000000
92,01032013,9.10,1402.02,0.00,24.99,121.53,432000000
93,01112012,20.60,2469.65,4.00,24.96,121.51,218000000
94,01112012,31.90,1146.33,0.00,24.95,121.53,161000000
95,01112012,40.90,167.60,5.00,24.97,121.54,410000000
96,01112012,8.00,104.81,5.00,24.97,121.54,518000000
97,01052013,6.40,90.46,9.00,24.97,121.54,595000000
98,01122012,28.40,617.44,3.00,24.98,121.53,346000000
99,01052013,16.40,289.32,5.00,24.98,121.54,510000000
100,01052013,6.40,90.46,9.00,24.97,121.54,622000000
101,01062013,17.50,964.75,4.00,24.99,121.53,382000000
102,01092012,12.70,170.13,1.00,24.97,121.53,329000000
103,01122012,1.10,193.58,6.00,24.97,121.54,544000000
104,01092012,0.00,208.39,6.00,24.96,121.54,457000000
105,01082012,32.70,392.45,6.00,24.96,121.54,305000000
106,01092012,0.00,293.00,6.00,24.98,121.54,710000000
107,01122012,17.20,189.52,8.00,24.98,121.54,471000000
108,01032013,12.20,1360.14,1.00,24.95,121.55,266000000
109,01052013,31.40,592.50,2.00,24.97,121.54,341000000
110,01062013,4.00,2147.38,3.00,24.96,121.51,284000000
111,01122012,8.10,104.81,5.00,24.97,121.54,516000000
112,01062013,33.30,196.62,7.00,24.98,121.54,394000000
113,01052013,9.90,2102.43,3.00,24.96,121.51,231000000
114,01082012,30.60,143.84,8.00,24.98,121.54,533000000
115,01122012,20.60,737.92,2.00,24.98,121.55,464000000
116,01122012,30.90,6396.28,1.00,24.94,121.48,122000000
117,01122012,13.60,4197.35,0.00,24.94,121.50,130000000
118,01062013,25.30,1583.72,3.00,24.97,121.52,306000000
119,01062013,16.60,289.32,5.00,24.98,121.54,596000000
120,01022013,13.30,492.23,5.00,24.97,121.54,313000000
121,01062013,13.60,492.23,5.00,24.97,121.54,480000000
122,01032013,31.50,414.95,4.00,24.98,121.54,325000000
123,01052013,0.00,185.43,0.00,24.97,121.53,455000000
124,01112012,9.90,279.17,7.00,24.98,121.55,574000000
125,01022013,1.10,193.58,6.00,24.97,121.54,486000000
126,01122012,38.60,804.69,4.00,24.98,121.53,629000000
127,01032013,3.80,383.86,5.00,24.98,121.54,550000000
128,01122012,41.30,124.99,6.00,24.97,121.54,607000000
129,01052013,38.50,216.83,7.00,24.98,121.54,410000000
130,01032013,29.60,535.53,8.00,24.98,121.54,375000000
131,01062013,4.00,2147.38,3.00,24.96,121.51,307000000
132,01022013,26.60,482.76,5.00,24.97,121.54,375000000
133,01092012,18.00,373.39,8.00,24.99,121.54,395000000
134,01082012,33.40,186.97,6.00,24.97,121.54,422000000
135,01112012,18.90,1009.24,0.00,24.96,121.55,208000000
136,01092012,11.40,390.57,5.00,24.98,121.54,468000000
137,01062013,13.60,319.07,6.00,24.96,121.54,474000000
138,01022013,10.00,942.47,0.00,24.98,121.52,435000000
139,01082012,12.90,492.23,5.00,24.97,121.54,425000000
140,01032013,16.20,289.32,5.00,24.98,121.54,514000000
141,01032013,5.10,1559.83,3.00,24.97,121.52,289000000
142,01052013,19.80,640.61,5.00,24.97,121.55,375000000
143,01062013,13.60,492.23,5.00,24.97,121.54,401000000
144,01122012,11.90,1360.14,1.00,24.95,121.55,284000000
145,01112012,2.10,451.24,5.00,24.98,121.55,455000000
146,01092012,0.00,185.43,0.00,24.97,121.53,522000000
147,01092012,3.20,489.88,8.00,24.97,121.54,432000000
148,01062013,16.40,3780.59,0.00,24.93,121.51,451000000
149,01082012,34.90,179.45,8.00,24.97,121.54,397000000
150,01032013,35.80,170.73,7.00,24.97,121.54,485000000
151,01062013,4.90,387.77,9.00,24.98,121.54,447000000
152,01032013,12.00,1360.14,1.00,24.95,121.55,289000000
153,01032013,6.50,376.17,6.00,24.95,121.54,409000000
154,01062013,16.90,4066.59,0.00,24.94,121.50,207000000
155,01022013,13.80,4082.02,0.00,24.94,121.50,156000000
156,01062013,30.70,1264.73,0.00,24.95,121.53,183000000
157,01032013,16.10,815.93,4.00,24.98,121.53,356000000
158,01122012,11.60,390.57,5.00,24.98,121.54,394000000
159,01082012,15.50,815.93,4.00,24.98,121.53,374000000
160,01112012,3.50,49.66,8.00,24.96,121.54,578000000
161,01052013,19.20,616.40,3.00,24.98,121.54,396000000
162,01092012,16.00,4066.59,0.00,24.94,121.50,116000000
163,01062013,8.50,104.81,5.00,24.97,121.54,555000000
164,01092012,0.00,185.43,0.00,24.97,121.53,552000000
165,01112012,13.70,1236.56,1.00,24.98,121.55,306000000
166,01052013,0.00,293.00,6.00,24.98,121.54,736000000
167,01052013,28.20,330.09,8.00,24.97,121.54,434000000
168,01122012,27.60,515.11,5.00,24.96,121.54,374000000
169,01052013,8.40,1962.63,1.00,24.95,121.55,235000000
170,01032013,24.00,4527.69,0.00,24.95,121.50,144000000
171,01122012,3.60,383.86,5.00,24.98,121.54,588000000
172,01062013,6.60,90.46,9.00,24.97,121.54,581000000
173,01122012,41.30,401.88,4.00,24.98,121.54,351000000
174,01052013,4.30,432.04,7.00,24.98,121.54,452000000
175,01122012,30.20,472.17,3.00,24.97,121.54,365000000
176,01092012,13.90,4573.78,0.00,24.95,121.50,192000000
177,01122012,33.00,181.08,9.00,24.98,121.54,420000000
178,01062013,13.10,1144.44,4.00,24.99,121.53,367000000
179,01122012,14.00,438.85,1.00,24.97,121.53,426000000
180,01082012,26.90,4449.27,0.00,24.95,121.50,155000000
181,01022013,11.60,201.89,8.00,24.98,121.54,559000000
182,01062013,13.50,2147.38,3.00,24.96,121.51,236000000
183,01062013,17.00,4082.02,0.00,24.94,121.50,188000000
184,01092012,14.10,2615.47,0.00,24.95,121.56,218000000
185,01092012,31.40,1447.29,3.00,24.97,121.52,215000000
186,01022013,20.90,2185.13,3.00,24.96,121.51,257000000
187,01122012,8.90,3078.18,0.00,24.95,121.57,220000000
188,01112012,34.80,190.04,8.00,24.98,121.54,443000000
189,01112012,16.30,4066.59,0.00,24.94,121.50,205000000
190,01062013,35.30,616.57,8.00,24.98,121.54,423000000
191,01022013,13.20,750.07,2.00,24.97,121.55,378000000
192,01022013,43.80,57.59,7.00,24.97,121.54,427000000
193,01052013,9.70,421.48,5.00,24.98,121.54,493000000
194,01062013,15.20,3771.90,0.00,24.93,121.51,293000000
195,01032013,15.20,461.10,5.00,24.95,121.54,346000000
196,01122012,22.80,707.91,2.00,24.98,121.55,366000000
197,01032013,34.40,126.73,8.00,24.97,121.54,482000000
198,01122012,34.00,157.61,7.00,24.97,121.54,391000000
199,01052013,18.20,451.64,8.00,24.97,121.54,316000000
200,01052013,17.40,995.76,0.00,24.96,121.55,255000000
201,01052013,13.10,561.98,5.00,24.99,121.54,459000000
202,01112012,38.30,642.70,3.00,24.98,121.54,315000000
203,01082012,15.60,289.32,5.00,24.98,121.54,461000000
204,01122012,18.00,1414.84,1.00,24.95,121.55,266000000
205,01122012,12.80,1449.72,3.00,24.97,121.52,214000000
206,01032013,22.20,379.56,10.00,24.98,121.54,440000000
207,01122012,38.50,665.06,3.00,24.98,121.54,342000000
208,01092012,11.50,1360.14,1.00,24.95,121.55,262000000
209,01092012,34.80,175.63,8.00,24.97,121.54,409000000
210,01062013,5.20,390.57,5.00,24.98,121.54,522000000
211,01122012,0.00,274.01,1.00,24.97,121.53,435000000
212,01032013,17.60,1805.67,2.00,24.99,121.52,311000000
213,01122012,6.20,90.46,9.00,24.97,121.54,580000000
214,01062013,18.10,1783.18,3.00,24.97,121.51,209000000
215,01032013,19.20,383.71,8.00,24.97,121.54,481000000
216,01032013,37.80,590.93,1.00,24.97,121.54,397000000
217,01112012,28.00,372.62,6.00,24.98,121.54,408000000
218,01052013,13.60,492.23,5.00,24.97,121.54,438000000
219,01092012,29.30,529.78,8.00,24.98,121.54,402000000
220,01032013,37.20,186.51,9.00,24.98,121.54,783000000
221,01032013,9.00,1402.02,0.00,24.99,121.53,385000000
222,01062013,30.60,431.11,10.00,24.98,121.54,485000000
223,01032013,9.10,1402.02,0.00,24.99,121.53,423000000
224,01032013,34.50,324.94,6.00,24.98,121.54,460000000
225,01032013,1.10,193.58,6.00,24.97,121.54,490000000
226,01122012,16.50,4082.02,0.00,24.94,121.50,128000000
227,01112012,32.40,265.06,8.00,24.98,121.54,402000000
228,01052013,11.90,3171.33,0.00,25.00,121.52,466000000
229,01062013,31.00,1156.41,0.00,24.95,121.53,190000000
230,01062013,4.00,2147.38,3.00,24.96,121.51,334000000
231,01092012,16.20,4074.74,0.00,24.94,121.50,147000000
232,01112012,27.10,4412.77,1.00,24.95,121.50,174000000
233,01032013,39.70,333.37,9.00,24.98,121.54,324000000
234,01032013,8.00,2216.61,4.00,24.96,121.51,239000000
235,01092012,12.90,250.63,7.00,24.97,121.54,393000000
236,01022013,3.60,373.84,10.00,24.98,121.54,619000000
237,01022013,13.00,732.85,0.00,24.98,121.53,390000000
238,01122012,12.80,732.85,0.00,24.98,121.53,406000000
239,01062013,18.10,837.72,0.00,24.96,121.55,297000000
240,01122012,11.00,1712.63,2.00,24.96,121.52,288000000
241,01062013,13.70,250.63,7.00,24.97,121.54,414000000
242,01092012,2.00,2077.39,3.00,24.96,121.51,334000000
243,01052013,32.80,204.17,8.00,24.98,121.54,482000000
244,01122012,4.80,1559.83,3.00,24.97,121.52,217000000
245,01052013,7.50,639.62,5.00,24.97,121.55,408000000
246,01052013,16.40,389.82,6.00,24.96,121.54,406000000
247,01032013,21.70,1055.07,0.00,24.96,121.55,231000000
248,01122012,19.00,1009.24,0.00,24.96,121.55,223000000
249,01092012,18.00,6306.15,1.00,24.96,121.48,150000000
250,01022013,39.20,424.71,7.00,24.97,121.54,300000000
251,01112012,31.70,1159.45,0.00,24.95,121.53,138000000
252,01092012,5.90,90.46,9.00,24.97,121.54,527000000
253,01082012,30.40,1735.60,2.00,24.96,121.52,259000000
254,01082012,1.10,329.97,5.00,24.98,121.54,518000000
255,01052013,31.50,5512.04,1.00,24.95,121.48,174000000
256,01082012,14.60,339.23,1.00,24.98,121.53,265000000
257,01032013,17.30,444.13,1.00,24.98,121.53,439000000
258,01052013,0.00,293.00,6.00,24.98,121.54,633000000
259,01122012,17.70,837.72,0.00,24.96,121.55,288000000
260,01032013,17.00,1485.10,4.00,24.97,121.52,307000000
261,01022013,16.20,2288.01,3.00,24.96,121.51,244000000
262,01112012,15.90,289.32,5.00,24.98,121.54,530000000
263,01052013,3.90,2147.38,3.00,24.96,121.51,317000000
264,01022013,32.60,493.66,7.00,24.97,121.55,406000000
265,01092012,15.70,815.93,4.00,24.98,121.53,381000000
266,01032013,17.80,1783.18,3.00,24.97,121.51,237000000
267,01092012,34.70,482.76,5.00,24.97,121.54,411000000
268,01052013,17.20,390.57,5.00,24.98,121.54,401000000
269,01122012,17.60,837.72,0.00,24.96,121.55,230000000
270,01032013,10.80,252.58,1.00,24.97,121.53,1175000000
271,01112012,17.70,451.64,8.00,24.97,121.54,265000000
272,01092012,13.00,492.23,5.00,24.97,121.54,405000000
273,01052013,13.20,170.13,1.00,24.97,121.53,293000000
274,01022013,27.50,394.02,7.00,24.97,121.54,410000000
275,01082012,1.50,23.38,7.00,24.97,121.54,497000000
276,01122012,19.10,461.10,5.00,24.95,121.54,340000000
277,01052013,21.20,2185.13,3.00,24.96,121.51,277000000
278,01092012,0.00,208.39,6.00,24.96,121.54,440000000
279,01052013,2.60,1554.25,3.00,24.97,121.52,311000000
280,01032013,2.30,184.33,6.00,24.97,121.54,454000000
281,01032013,4.70,387.77,9.00,24.98,121.54,448000000
282,01112012,2.00,1455.80,1.00,24.95,121.55,256000000
283,01052013,33.50,1978.67,2.00,24.99,121.52,235000000
284,01112012,15.00,383.28,7.00,24.97,121.54,344000000
285,01022013,30.10,718.29,3.00,24.98,121.54,553000000
286,01112012,5.90,90.46,9.00,24.97,121.54,563000000
287,01122012,19.20,461.10,5.00,24.95,121.54,329000000
288,01062013,16.60,323.69,6.00,24.98,121.54,510000000
289,01032013,13.90,289.32,5.00,24.98,121.54,445000000
290,01122012,37.70,490.34,0.00,24.97,121.53,370000000
291,01092012,3.40,56.47,7.00,24.96,121.54,544000000
292,01122012,17.50,395.67,5.00,24.96,121.53,245000000
293,01082012,12.60,383.28,7.00,24.97,121.54,425000000
294,01062013,26.40,335.53,6.00,24.98,121.54,381000000
295,01022013,18.20,2179.59,3.00,24.96,121.51,218000000
296,01092012,12.50,1144.44,4.00,24.99,121.53,341000000
297,01092012,34.90,567.03,4.00,24.97,121.55,285000000
298,01032013,16.70,4082.02,0.00,24.94,121.50,167000000
299,01022013,33.20,121.73,10.00,24.98,121.54,461000000
300,01122012,2.50,156.24,4.00,24.97,121.54,369000000
301,01092012,38.00,461.78,0.00,24.97,121.53,357000000
302,01062013,16.50,2288.01,3.00,24.96,121.51,232000000
303,01062013,38.30,439.71,0.00,24.97,121.53,384000000
304,01052013,20.00,1626.08,3.00,24.97,121.52,294000000
305,01122012,16.20,289.32,5.00,24.98,121.54,550000000
306,01062013,14.40,169.98,1.00,24.97,121.53,502000000
307,01092012,10.30,3079.89,0.00,24.95,121.57,247000000
308,01052013,16.40,289.32,5.00,24.98,121.54,530000000
309,01032013,30.30,1264.73,0.00,24.95,121.53,191000000
310,01062013,16.40,1643.50,2.00,24.95,121.55,247000000
311,01022013,21.30,537.80,4.00,24.97,121.54,422000000
312,01062013,35.40,318.53,9.00,24.97,121.54,780000000
313,01032013,8.30,104.81,5.00,24.97,121.54,428000000
314,01032013,3.70,577.96,6.00,24.97,121.55,416000000
315,01122012,15.60,1756.41,2.00,24.98,121.52,273000000
316,01032013,13.30,250.63,7.00,24.97,121.54,420000000
317,01092012,15.60,752.77,2.00,24.98,121.53,375000000
318,01032013,7.10,379.56,10.00,24.98,121.54,498000000
319,01032013,34.60,272.68,5.00,24.96,121.54,269000000
320,01092012,13.50,4197.35,0.00,24.94,121.50,186000000
321,01112012,16.90,964.75,4.00,24.99,121.53,377000000
322,01122012,12.90,187.48,1.00,24.97,121.53,331000000
323,01052013,28.60,197.13,6.00,24.98,121.54,425000000
324,01082012,12.40,1712.63,2.00,24.96,121.52,313000000
325,01122012,36.60,488.82,8.00,24.97,121.54,381000000
326,01062013,4.10,56.47,7.00,24.96,121.54,621000000
327,01052013,3.50,757.34,3.00,24.98,121.55,367000000
328,01092012,15.90,1497.71,3.00,24.97,121.52,236000000
329,01122012,13.60,4197.35,0.00,24.94,121.50,192000000
330,01122012,32.00,1156.78,0.00,24.95,121.53,128000000
331,01032013,25.60,4519.69,0.00,24.95,121.50,156000000
332,01022013,39.80,617.71,2.00,24.98,121.53,396000000
333,01092012,7.80,104.81,5.00,24.97,121.54,384000000
334,01112012,30.00,1013.34,5.00,24.99,121.53,228000000
335,01062013,27.30,337.60,6.00,24.96,121.54,365000000
336,01092012,5.10,1867.23,2.00,24.98,121.52,356000000
337,01092012,31.30,600.86,5.00,24.97,121.55,309000000
338,01112012,31.50,258.19,9.00,24.97,121.54,363000000
339,01032013,1.70,329.97,5.00,24.98,121.54,504000000
340,01032013,33.60,270.89,0.00,24.97,121.53,429000000
341,01122012,13.00,750.07,2.00,24.97,121.55,370000000
342,01082012,5.70,90.46,9.00,24.97,121.54,535000000
343,01122012,33.50,563.29,8.00,24.98,121.54,466000000
344,01062013,34.60,3085.17,0.00,25.00,121.52,412000000
345,01082012,0.00,185.43,0.00,24.97,121.53,379000000
346,01052013,13.20,1712.63,2.00,24.96,121.52,308000000
347,01062013,17.40,6488.02,1.00,24.96,121.47,112000000
348,01092012,4.60,259.66,6.00,24.98,121.55,537000000
349,01092012,7.80,104.81,5.00,24.97,121.54,470000000
350,01122012,13.20,492.23,5.00,24.97,121.54,423000000
351,01092012,4.00,2180.25,3.00,24.96,121.51,286000000
352,01092012,18.40,2674.96,3.00,24.96,121.51,257000000
353,01062013,4.10,2147.38,3.00,24.96,121.51,313000000
354,01052013,12.20,1360.14,1.00,24.95,121.55,301000000
355,01032013,3.80,383.86,5.00,24.98,121.54,607000000
356,01092012,10.30,211.45,1.00,24.97,121.53,453000000
357,01052013,0.00,338.97,9.00,24.97,121.54,449000000
358,01022013,1.10,193.58,6.00,24.97,121.54,451000000
359,01062013,5.60,2408.99,0.00,24.96,121.56,247000000
360,01082012,32.90,87.30,10.00,24.98,121.54,471000000
361,01122012,41.40,281.21,8.00,24.97,121.54,633000000
362,01052013,17.10,967.40,4.00,24.99,121.53,400000000
363,01062013,32.30,109.95,10.00,24.98,121.54,480000000
364,01052013,35.30,614.14,7.00,24.98,121.54,331000000
365,01112012,17.30,2261.43,4.00,24.96,121.51,295000000
366,01092012,14.20,1801.54,1.00,24.95,121.55,248000000
367,01092012,15.00,1828.32,2.00,24.96,121.52,209000000
368,01052013,18.20,350.85,1.00,24.98,121.53,431000000
369,01082012,20.20,2185.13,3.00,24.96,121.51,228000000
370,01092012,15.90,289.32,5.00,24.98,121.54,421000000
371,01062013,4.10,312.90,5.00,24.96,121.54,517000000
372,01122012,33.90,157.61,7.00,24.97,121.54,415000000
373,01122012,0.00,274.01,1.00,24.97,121.53,522000000
374,01032013,5.40,390.57,5.00,24.98,121.54,495000000
375,01032013,21.70,1157.99,0.00,24.96,121.55,238000000
376,01052013,14.70,1717.19,2.00,24.96,121.52,305000000
377,01032013,3.90,49.66,8.00,24.96,121.54,568000000
378,01032013,37.30,587.89,8.00,24.97,121.55,374000000
379,01032013,0.00,293.00,6.00,24.98,121.54,697000000
380,01032013,14.10,289.32,5.00,24.98,121.54,533000000
381,01052013,8.00,132.55,9.00,24.98,121.54,473000000
382,01122012,16.30,3529.56,0.00,24.93,121.52,293000000
383,01082012,29.10,506.11,4.00,24.98,121.54,403000000
384,01092012,16.10,4066.59,0.00,24.94,121.50,129000000
385,01122012,18.30,82.89,10.00,24.98,121.54,466000000
386,01092012,0.00,185.43,0.00,24.97,121.53,553000000
387,01032013,16.20,2103.56,3.00,24.96,121.51,256000000
388,01062013,10.40,2251.94,4.00,24.96,121.51,273000000
389,01032013,40.90,122.36,8.00,24.97,121.54,677000000
390,01062013,32.80,377.83,9.00,24.97,121.54,386000000
391,01062013,6.20,1939.75,1.00,24.95,121.55,313000000
392,01122012,42.70,443.80,6.00,24.98,121.54,353000000
393,01122012,16.90,967.40,4.00,24.99,121.53,403000000
394,01062013,32.60,4136.27,1.00,24.96,121.50,247000000
395,01112012,21.20,512.55,4.00,24.97,121.54,425000000
396,01082012,37.10,918.64,1.00,24.97,121.55,319000000
397,01052013,13.10,1164.84,4.00,24.99,121.53,322000000
398,01052013,14.70,1717.19,2.00,24.96,121.52,230000000
399,01112012,12.70,170.13,1.00,24.97,121.53,373000000
400,01032013,26.80,482.76,5.00,24.97,121.54,355000000
401,01122012,7.60,2175.03,3.00,24.96,121.51,277000000
402,01092012,12.70,187.48,1.00,24.97,121.53,285000000
403,01082012,30.90,161.94,9.00,24.98,121.54,397000000
404,01032013,16.40,289.32,5.00,24.98,121.54,412000000
405,01082012,23.00,130.99,6.00,24.96,121.54,372000000
406,01022013,1.90,372.14,7.00,24.97,121.54,405000000
407,01122012,5.20,2408.99,0.00,24.96,121.56,223000000
408,01052013,18.50,2175.74,3.00,24.96,121.51,281000000
409,01122012,13.70,4082.02,0.00,24.94,121.50,154000000
410,01082012,5.60,90.46,9.00,24.97,121.54,500000000
411,01032013,18.80,390.97,7.00,24.98,121.54,406000000
412,01122012,8.10,104.81,5.00,24.97,121.54,525000000
413,01062013,6.50,90.46,9.00,24.97,121.54,639000000
